,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,paper_title,pdbx_model_details,pdbx_model_type_details,Hchain,Lchain,antigen_chain,antigen_type,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,method,pmid
7FCP,N,,CRYSTALLOGRAPHIC STRUCTURE OF TWO NEUTRALIZING ANTIBODIES IN COMPLEX WITH SARS-COV-2 SPIKE RECEPTOR-BINDING DOMAIN (RBD),ANTIVIRAL PROTEIN,"SARS-COV-2, RBD, NEUTRALIZING ANTIBODIES, ANTIVIRAL PROTEIN",ULTRAPOTENT NEUTRALIZING ANTIBODIES AGAINST SARS-COV-2 WITH A HIGH DEGREE OF MUTATION RESISTANCE.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,ANTIVIRAL PROTEIN,06/15/22,CRYSTALLOGRAPHIC STRUCTURE OF TWO NEUTRALIZING ANTIBODIES IN COMPLEX WITH SARS-COV-2 SPIKE RECEPTOR-BINDING DOMAIN (RBD),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHENG, P., JIN, T.",X-RAY DIFFRACTION,NONE
7K43,N,"SARS-COV-2 SPIKE GLYCOPROTEIN, S2M11 FAB FRAGMENT (HEAVY CHAIN), S2M11 FAB FRAGMENT (LIGHT CHAIN)",SARS-COV-2 SPIKE IN COMPLEX WITH THE S2M11 NEUTRALIZING ANTIBODY FAB FRAGMENT,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, COVID-19, SPIKE GLYCOPROTEIN, FUSION PROTEIN, NEUTRALIZING ANTIBODIES, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",ULTRAPOTENT HUMAN ANTIBODIES PROTECT AGAINST SARS-COV-2 CHALLENGE VIA MULTIPLE MECHANISMS.,,,C,D,B,PROTEIN,SARS-COV-2 SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,09/14/20,SARS-COV-2 SPIKE IN COMPLEX WITH THE S2M11 NEUTRALIZING ANTIBODY FAB FRAGMENT,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"TORTORICI, M.A., VEESLER, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",ELECTRON MICROSCOPY,NONE
7KMK,N,,"CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE IN COMPLEX WITH FAB 15033-7, TWO RBDS BOUND",VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE, FAB, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",TETRAVALENT SARS-COV-2 NEUTRALIZING ANTIBODIES SHOW ENHANCED POTENCY AND RESISTANCE TO ESCAPE MUTATIONS.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,02/10/21,"CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE IN COMPLEX WITH FAB 15033-7, TWO RBDS BOUND",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LI, Z., RINI, J.M.",ELECTRON MICROSCOPY,NONE
7CWT,N,"SPIKE GLYCOPROTEIN, LIGHT CHAIN OF HB27, HEAVY CHAIN OF HB27, HEAVY CHAIN OF FC05, LIGHT CHAIN OF FC05",SARS-COV-2 SPIKE PROTEIN IN COMPLEX WITH HB27 AND FC05 FAB COCKTAIL,VIRAL PROTEIN,VIRAL PROTEIN,STRUCTURE-BASED DEVELOPMENT OF HUMAN ANTIBODY COCKTAILS AGAINST SARS-COV-2.,,,I,J,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,06/23/21,SARS-COV-2 SPIKE PROTEIN IN COMPLEX WITH HB27 AND FC05 FAB COCKTAIL,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CUI, Z., WANG, X.",ELECTRON MICROSCOPY,NONE
7SUE,N,,CRYSTAL STRUCTURE OF HUMAN FAB S24-188 IN THE COMPLEX WITH THE N-TEMINAL DOMAIN OF NUCLEOCAPSID PROTEIN FROM SARS COV-2,VIRAL PROTEIN,"SARS CORONAVIRUS 2, NUCLEOCAPSID PROTEIN, HUMAN ANTIBODY FAB, COVID-19, STRUCTURAL GENOMICS, CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES, CSGID, VIRAL PROTEIN",CRYSTAL STRUCTURE OF HUMAN FAB S24-188 IN THE COMPLEX WITH THE N-TEMINAL DOMAIN OF NUCLEOCAPSID PROTEIN FROM SARS COV-2,,,F,E,J,PROTEIN,NUCLEOPROTEIN,VIRAL PROTEIN,08/10/22,CRYSTAL STRUCTURE OF HUMAN FAB S24-188 IN THE COMPLEX WITH THE N-TEMINAL DOMAIN OF NUCLEOCAPSID PROTEIN FROM SARS COV-2,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"KIM, Y., MALTSEVA, N., TESAR, C., JEDRZEJCZAK, R., DUGAN, H., STAMPER, C., WILSON, P., JOACHIMIAK, A., CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES (CSGID)",X-RAY DIFFRACTION,NONE
7WPF,N,,SARS-COV-2 OMICRON VARIANT S TRIMER COMPLEXED WITH THREE JMB2002 FAB,VIRAL PROTEIN,"ANTIBODY, VIRAL PROTEIN",STRUCTURES OF THE OMICRON SPIKE TRIMER WITH ACE2 AND AN ANTI-OMICRON ANTIBODY.,,,T,,,,,VIRAL PROTEIN,03/16/22,SARS-COV-2 OMICRON VARIANT S TRIMER COMPLEXED WITH THREE JMB2002 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS; LAMA GLAMA,LAMA GLAMA,,,"YIN, W., XU, Y., XU, P., CAO, X., WU, C., GU, C., HE, X., WANG, X., HUANG, S., YUAN, Q., WU, K., HU, W., HUANG, Z., LIU, J., WANG, Z., JIA, F., XIA, K., LIU, P., WANG, X., SONG, B., ZHENG, J., JIANG, H., CHENG, X., JIANG, Y., DENG, S.J., XU, H.E.",ELECTRON MICROSCOPY,NONE
7DX4,N,,THE STRUCTURE OF FC08 FAB-HA.CE2-RBD COMPLEX,VIRAL PROTEIN,"SARS-COV-2, SPIKE, NEUTRALIZING ANTIBODY, HACE2, RBD, VIRAL PROTEIN",A PROOF OF CONCEPT FOR NEUTRALIZING ANTIBODY-GUIDED VACCINE DESIGN AGAINST SARS-COV-2.,,,H,L,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,04/21/21,THE STRUCTURE OF FC08 FAB-HA.CE2-RBD COMPLEX,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CAO, L., WANG, X.",ELECTRON MICROSCOPY,NONE
7DK7,N,"THE HEAVY CHAIN OF 3C1 FAB THAT BINDS WITH THE UP RBD, SPIKE GLYCOPROTEIN, THE LIGHT CHAIN OF 3C1 FAB","S-2H2-F3B STRUCTURE, THREE RBDS ARE UP AND EACH RBD BINDS WITH A 2H2 FAB.",VIRAL PROTEIN,VIRAL PROTEIN,DEVELOPMENT AND STRUCTURAL BASIS OF A TWO-MAB COCKTAIL FOR TREATING SARS-COV-2 INFECTIONS.,,,E,F,C,PROTEIN,SARS-COV-2 S PROTEIN,VIRAL PROTEIN,11/23/20,"S-2H2-F3B STRUCTURE, THREE RBDS ARE UP AND EACH RBD BINDS WITH A 2H2 FAB.",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CONG, Y., WANG, Y.F.",ELECTRON MICROSCOPY,NONE
7N4I,N,,CRYSTAL STRUCTURE OF SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH NEUTRALIZING HUMAN ANTIBODY WRAIR-2057.,VIRAL PROTEIN/IMMUNE SYSTEM,"NEUTRALIZING ANTIBODY, SARS-COV-2, WRAIR-2057, RECEPTOR BINDING DOMAIN, ANTIVIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",LOW-DOSE IN VIVO PROTECTION AND NEUTRALIZATION ACROSS SARS-COV-2 VARIANTS BY MONOCLONAL ANTIBODY COMBINATIONS.,,,H,L,C,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,10/06/21,CRYSTAL STRUCTURE OF SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH NEUTRALIZING HUMAN ANTIBODY WRAIR-2057.,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"SANKHALA, R.S., JOYCE, M.G.",X-RAY DIFFRACTION,NONE
7PS4,N,,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 BETA VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH BETA-38,VIRAL PROTEIN,"SARS-COV-2 B.1.1.7 (ALPHA) VARIANT, B.1.351 (BETA) VARIANT, P.1 (GAMMA) VARIANT, B.1.617.2 (DELTA) VARIANT, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE ANTIBODY RESPONSE TO SARS-COV-2 BETA UNDERSCORES THE ANTIGENIC DISTANCE TO OTHER VARIANTS.,,,B,C,A,PROTEIN,SURFACE GLYCOPROTEIN,VIRAL PROTEIN,12/15/21,CRYSTAL STRUCTURE OF THE RECEPTOR BINDING DOMAIN OF SARS-COV-2 BETA VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH BETA-38,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.I.",X-RAY DIFFRACTION,NONE
7RU8,N,,CC6.30 FRAGMENT ANTIGEN BINDING IN COMPLEX WITH SARS-COV-2-6P-MUT7 S PROTEIN (RBD/FV LOCAL REFINEMENT),VIRAL PROTEIN/IMMUNE SYSTEM,"COVID, SARS-COV-2, STABILIZING MUTATIONS, NEUTRALIZING ANTIBODY, RBD, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",ENGINEERING SARS-COV-2 NEUTRALIZING ANTIBODIES FOR INCREASED POTENCY AND REDUCED VIRAL ESCAPE PATHWAYS.,,,H,L,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/24/22,CC6.30 FRAGMENT ANTIGEN BINDING IN COMPLEX WITH SARS-COV-2-6P-MUT7 S PROTEIN (RBD/FV LOCAL REFINEMENT),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"OZOROWSKI, G., TURNER, H.L., WARD, A.B.",ELECTRON MICROSCOPY,NONE
6NIJ,N,"PGT145 FAB HEAVY CHAIN, PGT145 FAB LIGHT CHAIN, AMC011 GLYCOPROTEIN 120, AMC011 GLYCOPROTEIN 41",PGT145 FAB IN COMPLEX WITH FULL LENGTH AMC011 HIV-1 ENV,IMMUNE SYSTEM,"HIV-1, ANTIBODY, GLYCOPROTEIN, IMMUNE SYSTEM",SIMILARITIES AND DIFFERENCES BETWEEN NATIVE HIV-1 ENVELOPE GLYCOPROTEIN TRIMERS AND STABILIZED SOLUBLE TRIMER MIMETICS.,,,H,L,E | A | C,PROTEIN | PROTEIN | PROTEIN,AMC011 GLYCOPROTEIN 120 | AMC011 GLYCOPROTEIN 120 | AMC011 GLYCOPROTEIN 120,IMMUNE SYSTEM,12/29/18,PGT145 FAB IN COMPLEX WITH FULL LENGTH AMC011 HIV-1 ENV,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS | HOMO SAPIENS | HOMO SAPIENS,"COTTRELL, C.A., TORRENTS DE LA PENA, A., RANTALAINEN, K., TORRES, J.L., WARD, A.B.",ELECTRON MICROSCOPY,NONE
7CZQ,N,"SPIKE GLYCOPROTEIN, HEAVY CHAIN OF 4A8, LIGHT CHAIN OF 4A8",S PROTEIN OF SARS-COV-2 IN COMPLEX BOUND WITH P2B-1A10,VIRAL PROTEIN,"SARS-COV-2, ANTIBODY, VIRAL PROTEIN",STRUCTURAL BASIS FOR BIVALENT BINDING AND INHIBITION OF SARS-COV-2 INFECTION BY HUMAN POTENT NEUTRALIZING ANTIBODIES.,,,J,N,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,03/10/21,S PROTEIN OF SARS-COV-2 IN COMPLEX BOUND WITH P2B-1A10,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YAN, R.H., ZHANG, Y.Y., LI, Y.N., ZHOU, Q.",ELECTRON MICROSCOPY,NONE
7E7E,N,,THE CO-CRYSTAL STRUCTURE OF ACE2 WITH FAB,ANTIVIRAL PROTEIN,"ACE2 FAB, ANTIVIRAL PROTEIN",A BROADLY NEUTRALIZING HUMANIZED ACE2-TARGETING ANTIBODY AGAINST SARS-COV-2 VARIANTS.,,,C,D,B,PROTEIN,PROCESSED ANGIOTENSIN-CONVERTING ENZYME 2,ANTIVIRAL PROTEIN,07/14/21,THE CO-CRYSTAL STRUCTURE OF ACE2 WITH FAB,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,"XIAO, J.Y., ZHANG, Y.",X-RAY DIFFRACTION,NONE
7NX9,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",CRYSTAL STRUCTURE OF THE N501Y MUTANT RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-222 AND EY6A FABS,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2 B.1.1.7 VARIANT, B.1.351 VARIANT, P.1 VARIANT, ANTIBODY, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",ANTIBODY EVASION BY THE P.1 STRAIN OF SARS-COV-2.,,,A,B,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,04/07/21,CRYSTAL STRUCTURE OF THE N501Y MUTANT RECEPTOR BINDING DOMAIN OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-222 AND EY6A FABS,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.",X-RAY DIFFRACTION,NONE
7QTK,N,,SARS-COV-2 S OMICRON SPIKE B.1.1.529 - RBD DOWN - 1-P2G3 FAB (LOCAL),VIRAL PROTEIN,"SARS-COV-2 S OMICRON SPIKE B.1.1.529, VIRAL PROTEIN",PATIENT-DERIVED MONOCLONAL ANTIBODY NEUTRALIZES SARS-COV-2 OMICRON VARIANTS AND CONFERS FULL PROTECTION IN MONKEYS.,,,B,C,D,PROTEIN,SURFACE GLYCOPROTEIN,VIRAL PROTEIN,08/03/22,SARS-COV-2 S OMICRON SPIKE B.1.1.529 - RBD DOWN - 1-P2G3 FAB (LOCAL),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"NI, D., LAU, K., TURELLI, P., FENWICK, C., PEREZ, L., POJER, F., STAHLBERG, H., PANTALEO, G., TRONO, D.",ELECTRON MICROSCOPY,NONE
7ND5,N,"COVOX-158 HEAVY CHAIN, COVOX-158 LIGHT CHAIN, SPIKE GLYCOPROTEIN",EM STRUCTURE OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-150 FAB,"VIRAL PROTEIN, IMMUNE SYSTEM","SARS-COV-2, ANTIBODY, GERMLINE, V-GENE, RECEPTOR-BINDING-DOMAIN, SPIKE, NEUTRALISATION, PROTECTION, GLYCOSYLATION, VALENCY, VIRAL PROTEIN, IMMUNE SYSTEM",THE ANTIGENIC ANATOMY OF SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,H,L,B,PROTEIN,SPIKE GLYCOPROTEIN,"VIRAL PROTEIN, IMMUNE SYSTEM",03/03/21,EM STRUCTURE OF SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH COVOX-150 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DUYVESTEYN, H.M.E., ZHAO, Y., REN, J., STUART, D.",ELECTRON MICROSCOPY,NONE
7M42,N,,COMPLEX OF SARS-COV-2 RECEPTOR BINDING DOMAIN WITH THE FAB FRAGMENTS OF NEUTRALIZING ANTIBODIES REGN10985 AND REGN10989,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, RBD, NEUTRALIZING ANTIBODY, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",THE MONOCLONAL ANTIBODY COMBINATION REGEN-COV PROTECTS AGAINST SARS-COV-2 MUTATIONAL ESCAPE IN PRECLINICAL AND HUMAN STUDIES.,,,D,C,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,07/28/21,COMPLEX OF SARS-COV-2 RECEPTOR BINDING DOMAIN WITH THE FAB FRAGMENTS OF NEUTRALIZING ANTIBODIES REGN10985 AND REGN10989,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, Y., ROMERO HERNANDEZ, A., SAOTOME, K., FRANKLIN, M.C.",ELECTRON MICROSCOPY,NONE
6NB8,N,THE ANTIGEN-BINDING (FAB) FRAGMENT,CRYSTAL STRUCTURE OF ANTI- SARS-COV HUMAN NEUTRALIZING S230 ANTIBODY FAB FRAGMENT,IMMUNE SYSTEM,"FAB, CORONAVIRUS, SARS, GLYCOPROTEIN, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, IMMUNE SYSTEM",UNEXPECTED RECEPTOR FUNCTIONAL MIMICRY ELUCIDATES ACTIVATION OF CORONAVIRUS FUSION.,,,H,L,,,,IMMUNE SYSTEM,12/06/18,CRYSTAL STRUCTURE OF ANTI- SARS-COV HUMAN NEUTRALIZING S230 ANTIBODY FAB FRAGMENT,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"WALLS, A.J., XIONG, X., PARK, Y.J., TORTORICI, M.A., SNIJDER, J., QUISPE, J., CAMERONI, E., GOPAL, R., DAI, M., LANZAVECCHIA, A., ZAMBON, M., REY, F.A., CORTI, D., VEESLER, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",X-RAY DIFFRACTION,NONE
7MKL,N,,SARS-COV-2 SPIKE IN COMPLEX WITH NEUTRALIZING FAB SARS2-38 (THREE DOWN CONFORMATION),VIRAL PROTEIN/IMMUNE SYSTEM,"GLYCOPROTEIN, ANTIBODY, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX, STRUCTURAL GENOMICS, CENTER FOR STRUCTURAL GENOMICS OF INFECTIOUS DISEASES, CSGID",A POTENTLY NEUTRALIZING SARS-COV-2 ANTIBODY INHIBITS VARIANTS OF CONCERN BY UTILIZING UNIQUE BINDING RESIDUES IN A HIGHLY CONSERVED EPITOPE.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,05/12/21,SARS-COV-2 SPIKE IN COMPLEX WITH NEUTRALIZING FAB SARS2-38 (THREE DOWN CONFORMATION),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ADAMS, L.J., FREMONT, D.H.",ELECTRON MICROSCOPY,NONE
7ZFA,N,,SARS-COV-2 OMICRON RBD IN COMPLEX WITH OMI-6 AND COVOX-150 FABS,VIRAL PROTEIN,"SARS-COV-2, OMICRON, BA.1, BA.2, RBD, ANTIBODY, FAB, OMI-6, COVOX-150, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN",POTENT CROSS-REACTIVE ANTIBODIES FOLLOWING OMICRON BREAKTHROUGH IN VACCINEES.,,,M,N,D,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,06/29/22,SARS-COV-2 OMICRON RBD IN COMPLEX WITH OMI-6 AND COVOX-150 FABS,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., HUO, J., REN, J., STUART, D.I.",X-RAY DIFFRACTION,NONE
6WPT,N,"SARS-COV-2 SPIKE GLYCOPROTEIN, S309 NEUTRALIZING ANTIBODY HEAVY CHAIN, S309 NEUTRALIZING ANTIBODY LIGHT CHAIN",STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH THE S309 NEUTRALIZING ANTIBODY FAB FRAGMENT (OPEN STATE),VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SARS-COV, SPIKE GLYCOPROTEIN, FUSION PROTEIN, NEUTRALIZING ANTIBODY, SARBECOVIRUS, STRUCTURAL GENOMICS, SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",CROSS-NEUTRALIZATION OF SARS-COV-2 BY A HUMAN MONOCLONAL SARS-COV ANTIBODY.,,,H,L,C,PROTEIN,SARS-COV-2 SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,05/27/20,STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH THE S309 NEUTRALIZING ANTIBODY FAB FRAGMENT (OPEN STATE),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PINTO, D., PARK, Y.J., BELTRAMELLO, M., WALLS, A.C., TORTORICI, M.A., BIANCHI, S., JACONI, S., CULAP, K., ZATTA, F., DE MARCO, A., PETER, A., GUARINO, B., SPREAFICO, R., CAMERONI, E., CASE, J.B., CHEN, R.E., HAVENAR-DAUGHTON, C., SNELL, G., VIRGIN, H.W., LANZAVECCHIA, A., DIAMOND, M.S., FINK, K., VEESLER, D., CORTI, D., SEATTLE STRUCTURAL GENOMICS CENTER FOR INFECTIOUS DISEASE (SSGCID)",ELECTRON MICROSCOPY,NONE
7RU3,N,,CC6.33 IGG IN COMPLEX WITH SARS-COV-2-6P-MUT7 S PROTEIN (NON-UNIFORM REFINEMENT),VIRAL PROTEIN/IMMUNE SYSTEM,"COVID, SARS-COV-2, STABILIZING MUTATIONS, NEUTRALIZING ANTIBODY, RBD, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",ENGINEERING SARS-COV-2 NEUTRALIZING ANTIBODIES FOR INCREASED POTENCY AND REDUCED VIRAL ESCAPE PATHWAYS.,,,E,F,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/24/22,CC6.33 IGG IN COMPLEX WITH SARS-COV-2-6P-MUT7 S PROTEIN (NON-UNIFORM REFINEMENT),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"OZOROWSKI, G., TURNER, H.L., WARD, A.B.",ELECTRON MICROSCOPY,NONE
8D6Z,N,,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE STEM FUSION PEPTIDE IN COMPLEX WITH NEUTRALIZING ANTIBODY COV91-27,IMMUNE SYSTEM,"SARS-COV-2, CORONAVIRUS, ANTIBODY, FUSION PEPTIDE, NEUTRALIZING ANTIBODY, COVID-19, IMMUNE SYSTEM",BROADLY NEUTRALIZING ANTIBODIES TARGET THE CORONAVIRUS FUSION PEPTIDE.,,,C,D,K,PEPTIDE,SPIKE PROTEIN S2 FUSION PEPTIDE,IMMUNE SYSTEM,07/27/22,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE STEM FUSION PEPTIDE IN COMPLEX WITH NEUTRALIZING ANTIBODY COV91-27,HOMO SAPIENS; SYNTHETIC CONSTRUCT,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"LEE, C.C.D., LIN, T.H., YUAN, M., WILSON, I.A.",X-RAY DIFFRACTION,NONE
