pdb_id,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,pdbx_model_type_details,pdbx_model_details
5IVO,,BC2-nanobody,Peptides in headlock - a novel high-affinity and versatile peptide-binding nanobody for proteomics and microscopy.,PEPTIDE BINDING PROTEIN,"Nanobody, Tag, Capture, Affinity, Catenin, peptide binding protein",,
6KVF,N,,Selection of a picomolar antibody that targets CXCR2-mediated neutrophil activation and alleviates EAE symptoms.,IMMUNE SYSTEM,"Antibody-Antigen complex, immune system, CXCR2",,
4NGH,,"FAB LIGHT CHAIN, FAB HEAVY CHAIN, MODIFIED FRAGMENT OF HIV GLYCOPROTEIN (GP41)",Stapled HIV-1 peptides recapitulate antigenic structures and engage broadly neutralizing antibodies.,IMMUNE SYSTEM,"IMMUNOGLOBULIN FOLD, BETA-SANDWICH, 4E10 FAB, ANTIBODY-EPITOPE COMPLEX, GP41 HIV-1, HYDROCARBON STAPLE, IMMUNE SYSTEM",,
6FY0,N,"CAP228-16H Heavy Chain, CAP228-16H Light Chain, CAP45 V2 peptide",V2-Directed Vaccine-like Antibodies from HIV-1 Infection Identify an Additional K169-Binding Light Chain Motif with Broad ADCC Activity.,IMMUNE SYSTEM,"Fab, HIV V2 peptide, IMMUNE SYSTEM",,
7MTA,N,,Structures of rhodopsin in complex with G-protein-coupled receptor kinase 1.,"MEMBRANE, Signaling protein/Immune System","GPCR, signal desensitization, Kinase, MEMBRANE PROTEIN, MEMBRANE, Signaling protein-Immune System complex",,
4OCY,,"Fab ADD058 Heavy Chain, Fab ADD058 Light Chain",Water channel in the binding site of a high affinity anti-methotrexate antibody.,IMMUNE SYSTEM,"IgG1/K family, IMMUNE SYSTEM",,
6UYM,N,"Fab AR3B heavy chain, Fab AR3B light chain, Polyprotein",Proof of concept for rational design of hepatitis C virus E2 core nanoparticle vaccines.,VIRAL PROTEIN/IMMUNE SYSTEM,"HCV, E2 core, Vaccine design, self-assembly nanoparticle, broadly neutralizing antibodies, bNAbs, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
5DSC,,"Fab Hpu24.B Heavy Chain, Fab Hou24.B Light Chain, Peptide GLY-HPU-GLY-SER-GLY",Structural Analysis and Optimization of Context-Independent Anti-Hypusine Antibodies.,IMMUNE SYSTEM,"hypusine, antibody, FabHpu24.B, eIF5A, IMMUNE SYSTEM",,
6WIY,N,"Hemagglutinin HA1, Hemagglutinin HA2",Convergent Evolution in Breadth of Two VH6-1-Encoded Influenza Antibody Clonotypes from a Single Donor.,IMMUNE SYSTEM,"Antibody, IMMUNE SYSTEM",,
4PP2,,"light chain of Fab fragment of 10B9 antibody, heavy chain of Fab fragment of 10B9 antibody, Peptidase 1 (E.C.3.4.22.65)",Structural Analysis of Der p 1-Antibody Complexes and Comparison with Complexes of Proteins or Peptides with Monoclonal Antibodies.,IMMUNE SYSTEM,"allergen, antibody, Immune system",,
6Q1J,N,"Fab heavy chain, Fab lambda light chain",Affinity maturation in a human humoral response to influenza hemagglutinin.,IMMUNE SYSTEM,"antibody, IMMUNE SYSTEM",,
5EZO,,"PfCyRPA, c12 FAB, c12 Fab",Structure of the malaria vaccine candidate antigen CyRPA and its complex with a parasite invasion inhibitory antibody.,IMMUNE SYSTEM,"MALARIA INHIBITORY ANTIBODY, FAB, immune system, cyrpa",,
7M7F,N,,Mapping the catalytic conformations of an assembly-line polyketide synthase module.,BIOSYNTHETIC PROTEIN/IMMUNE SYSTEM,"polyketide synthase, antibody fragment, BIOSYNTHETIC PROTEIN-IMMUNE SYSTEM complex",,
5W9M,N,"Spike glycoprotein, G4 VH, G4 VL",Immunogenicity and structures of a rationally designed prefusion MERS-CoV spike antigen.,VIRAL PROTEIN,"Immunogen, peplomer, viral spike, MERS, MERS S protein, antibody, G4, VIRAL PROTEIN",,
7RSN,N,,The Glycan Hole Area of HIV-1 Envelope Trimers Contributes Prominently to the Induction of Autologous Neutralization.,VIRAL PROTEIN/IMMUNE SYSTEM,"HIV, Env, antibody, bnAb, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
7OR9,N,,Reduced neutralization of SARS-CoV-2 B.1.617 by vaccine and convalescent serum.,VIRAL PROTEIN,"SARS-CoV-2 B.1.1.7 variant, B.1.351 variant, P.1 variant, B.1.617 variant, antibody, receptor-binding-domain, spike, neutralisation, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN",,
1T03,,,Structure of HIV-1 RT-DNA complexes before and after incorporation of the anti-AIDS drug tenofovir,Transferase/Antibody/DNA,"HIV-1 RT, tenofovir, RT-DNA complex, Transferase-Antibody-DNA COMPLEX",,
6GK4,N,"Cystic fibrosis transmembrane conductance regulator (E.C.3.6.3.49), Nanobody T27",Domain-interface dynamics of CFTR revealed by stabilizing nanobodies.,HYDROLASE,"Cystic Fibrosis, CFTR, nanobodies, thermal stabilization, conformational dynamics, Hydrolase",,
6VRQ,N,,Development of a VRC01-class germline targeting immunogen derived from anti-idiotypic antibodies.,IMMUNE SYSTEM,"Fab, Complex, gl12A21, IMMUNE SYSTEM, HIV, CD4-binding site, iv12",,
7Q9I,N,,The antibody response to SARS-CoV-2 Beta underscores the antigenic distance to other variants.,Viral Protein/Immune System,"SARS-CoV2, Spike, glycoprotein, antibody, fab, B.1.135, beta variant, Complex, neutralising, convalescent sera, Viral Protein/Immune System, Viral Protein-Immune System complex",,
7BC7,N,,Structural basis of antifolate recognition and transport by PCFT.,MEMBRANE PROTEIN,"transporter folate proton symporter, MEMBRANE PROTEIN",,
6FRJ,N,"scFv-SM3, APD-SeThr-RP",Structure-Based Design of Potent Tumor-Associated Antigens: Modulation of Peptide Presentation by Single-Atom O/S or O/Se Substitutions at the Glycosidic Linkage.,IMMUNE SYSTEM,"IMMUNE SYSTEM, Glycopeptides, antibodies, molecular recognition, conformation analysis",,
7EY4,N,,Structures of SARS-CoV-2 B.1.351 neutralizing antibodies provide insights into cocktail design against concerning variants.,VIRAL PROTEIN,"complex antibody, VIRAL PROTEIN",,
6GV1,N,"Major Facilitator Superfamily multidrug/H+ antiporter MdfA from E.coli, Fab fragment YN1074 heavy chain, Fab fragment YN1074 light chain",Outward open conformation of a Major Facilitator Superfamily multidrug/H+antiporter provides insights into switching mechanism.,TRANSPORT PROTEIN,"Major Facilitator Superfamily, multidrug resistance, proton transport, MFS transporter, drug proton antiporter, TRANSPORT PROTEIN",,
5T80,N,"10E8 FAB HEAVY CHAIN, 10E8 FAB LIGHT CHAIN, 10E8 EPITOPE SCAFFOLD T117v2",Lipid interactions and angle of approach to the HIV-1 viral membrane of broadly neutralizing antibody 10E8: Insights for vaccine and therapeutic design.,IMMUNE SYSTEM,"HIV-1 GP41 MPER, 10E8 FAB, LIPID MEMBRANE, IMMUNE SYSTEM",,
6ELL,N,"fAB heavy chain, fAB light chain",AbVance: increasing our knowledge of antibody structural space to enable faster and better decision making in antibody drug discovery,IMMUNE SYSTEM,"ANTIBODY, fAB FRAGMENT, AbVance project, Pistoia Alliance, immune system",,
1RUL,,"immunoglobulin igg2a, light chain/immunoglobulin igg2a, heavy chain",Probing the antibody-catalyzed water-oxidation pathway at atomic resolution.,IMMUNE SYSTEM,"immunoglobulin, catalytic antibody, water oxidation, amino acid modification, immune system",,
3MBX,,"X836 LIGHT CHAIN, X836 HEAVY CHAIN",On the domain pairing in chimeric antibodies.,IMMUNE SYSTEM,"IMMUNOGLOBULIN FOLD, MONOCLONAL ANTIBODY, IMMUNE SYSTEM",,
6MFT,N,"Heavy Chain glVRC01, Light chain glVRC01, Gp120",Germline VRC01 antibody recognition of a modified clade C HIV-1 envelope trimer and a glycosylated HIV-1 gp120 core.,IMMUNE SYSTEM/VIRAL PROTEIN,"glycans, germline, IMMUNE SYSTEM-VIRAL PROTEIN complex",,
4F15,,"Hemagglutinin, Fab fragment, heavy chain, Fab fragment, light chain",Molecular basis of infectivity of 2009 pandemic H1N1 influenza A viruses,IMMUNE SYSTEM,"influenza virus, haemagglutinin, conformation, antibody, IMMUNE SYSTEM",,
5GZO,N,"Genome polyprotein, Antibody heavy chain, Antibody light chain",Molecular determinants of human neutralizing antibodies isolated from a patient infected with Zika virus,VIRAL PROTEIN/IMMUNE SYSTEM,"Zika virus, Human neutralizing antibodies, Envelope protein, Molecular determinants, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
4DGI,,"Major prion protein, POM1 Fab Heavy chain, POM1 Fab Light chain",Structural studies on the folded domain of the human prion protein bound to the Fab fragment of the antibody POM1.,PROTEIN BINDING,"prion, antibody, PROTEIN BINDING",,
7MFU,N,,Structures of synthetic nanobody-SARS-CoV-2 receptor-binding domain complexes reveal distinct sites of interaction.,VIRAL PROTEIN,"SARS-CoV-2, Spike Protein, Receptor Binding Domain, RBD, Antibody, Nanobody, Sybody, Complex, Neutralization, VIRAL PROTEIN, Epitope",,
4NIK,,"26S proteasome non-ATPase regulatory subunit 10, Single-chain Fv fragment antibody",Restricted diversity of antigen binding residues of antibodies revealed by computational alanine scanning of 227 antibody-antigen complexes,Oncoprotein/Immune System,"beta-hairpin-alpha-hairpin repeat, Oncoprotein, 26S proteasome, Oncoprotein-Immune System complex",,
7SOC,N,,Molecular basis of immune evasion by the Delta and Kappa SARS-CoV-2 variants.,VIRAL PROTEIN/IMMUNE SYSTEM,"kappa, spike, antibody, Structural Genomics, Seattle Structural Genomics Center for Infectious Disease, SSGCID, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
6VUO,N,Single-chain Fv,Co-crystallization with diabodies: A case study for the introduction of synthetic symmetry.,PROTEIN BINDING,"Antibody fragment, Protein Binding",,
1A7P,,,X-Ray Structures of D1.3 Fv Mutants,IMMUNOGLOBULIN,IMMUNOGLOBULIN,,
4FQC,,"Fab heavy chain, Fab light chain",Complex-type N-glycan recognition by potent broadly neutralizing HIV antibodies.,IMMUNE SYSTEM,"IG FOLD, ANTI HIV, ANTIBODY, IMMUNE SYSTEM",,
3CMO,,"Fab light chain, Fab heavy chain",HIV neutralizing monoclonal antibody YZ18,IMMUNE SYSTEM,"HIV-1, monoclonal antibody, Immune System",,
4QXT,,"Fv fragment(mAb6D8) heavy chain, Fv fragment(mAb6D8) light chain, Merozoite surface antigen 2",Structural basis for epitope masking and strain specificity of a conserved epitope in an intrinsically disordered malaria vaccine candidate.,IMMUNE SYSTEM,"Immunoglobulin fold, IMMUNE SYSTEM, N-TERMINAL MSP2, unstructured antigen",,
3L1O,,"MONOCLONAL ANTIBODY FAB FRAGMENT MN423 H CHAIN, MONOCLONAL ANTIBODY FAB FRAGMENT MN423 L CHAIN",Monoclonal antibody MN423 as a stable mold facilitates structure determination of disordered tau protein,IMMUNE SYSTEM,"monoclonal antibody, IMMUNE SYSTEM",,
5W1K,N,"CR1-28 Fab light chain, CR1-28 Fab heavy chain, CR1-10 Fab light chain, CR1-10 Fab heavy chain, JUNV GP1",Vaccine-elicited receptor-binding site antibodies neutralize two New World hemorrhagic fever arenaviruses.,VIRAL PROTEIN/IMMUNE SYSTEM,"Fab, antibody, Junin virus, arenavirus, viral protein, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
4MXW,,"Tumor necrosis factor receptor superfamily member 3, anti-Lymphotoxin alpha antibody light chain, anti-Lymphotoxin alpha antibody heavy chain, Lymphotoxin-alpha, Lymphotoxin-beta",Dimerization of LT beta R by LT alpha 1 beta 2 is necessary and sufficient for signal transduction.,CYTOKINE/IMMUNE SYSTEM,"TNF, Tumor Necrosis Factor, TNFR Receptor, lymphotoxin beta receptor, lymphotoxin alpha, Lymphoid development, Tumor immunity, Auto-immunity, CYTOKINE-IMMUNE SYSTEM complex",,
4LHJ,,"Ricin (E.C.3.2.2.22), Camelid antibody",Crystal Structures of Ricin Toxin's Enzymatic Subunit (RTA) in Complex with Neutralizing and Non-Neutralizing Single-Chain Antibodies.,HYDROLASE/IMMUNE SYSTEM,"Ribosome inhibiting protein, HYDROLASE-IMMUNE SYSTEM complex",,
3DV4,,"antibody Fv fragment SAG506-01, Ig-like protein",Pseudo-symmetry and twinning in crystals of homologous antibody Fv fragments.,IMMUNE SYSTEM,"antibody, KDO, twinning, pseudo-symmetry, IMMUNE SYSTEM",,
6TYB,N,"Envelope glycoprotein gp160, T-cell surface glycoprotein CD4, NEUTRALIZING ANTIBODY ITS90.03 FAB HEAVY CHAIN, NEUTRALIZING ANTIBODY ITS90.03 FAB LIGHT CHAIN",Isolation and Structure of an Antibody that Fully Neutralizes Isolate SIVmac239 Reveals Functional Similarity of SIV and HIV Glycan Shields.,IMMUNE SYSTEM,"bNABs, gp120, fab, IMMUNE SYSTEM, glycan",,
7DET,N,"Spike glycoprotein, antibody scFv",Structural basis for SARS-CoV-2 neutralizing antibodies with novel binding epitopes.,VIRAL PROTEIN/ANTIVIRAL PROTEIN,"SARS-CoV-2, RBD, antibody, VIRAL PROTEIN, ANTIVIRAL PROTEIN, VIRAL PROTEIN-ANTIVIRAL PROTEIN complex",,
5NBW,N,"Fab 22F12 (L,H), Fab 22F12 (A,B)",Tight Molecular Recognition of Benzo[a]pyrene by a High-Affinity Antibody.,IMMUNE SYSTEM,"antibody, benzo[a]pyrene, Fab fragment, hapten, immune system",,
5IFH,,"CLL240 heavy chain (VH and CH1 domains), CLL240 BCR light chain",Distinct homotypic B-cell receptor interactions shape the outcome of chronic lymphocytic leukaemia.,IMMUNE SYSTEM,"Immunoglobulin fold, B cell receptor, chronic lymphocytic leukemia, immune system",,
6IDH,N,"Anti-(6-4) photoproduct antibody 64M-5 Fab (light chain), Anti-(6-4) photoproduct antibody 64M-5 Fab (heavy chain)",Structures of the antibody 64M-5 Fab and its complex with dT(6-4)T indicate induced-fit and high-affinity mechanisms.,IMMUNE SYSTEM,"DNA (6-4) PHOTOPRODUCT, IMMUNOGLOBULIN, FAB, IMMUNE SYSTEM",,
6AJ7,N,"VL of Fab 2G8, VH of Fab 2G8, VP1, VP2, VP3, VP4",Atomic structures of enterovirus D68 in complex with two monoclonal antibodies define distinct mechanisms of viral neutralization,VIRUS,"Enterovirus D68, neutralizing antibody, Immune-complex, VIRUS",,
6PDS,N,"antibody Fab heavy chain, antibody Fab light chain, ALA-VAL-GLY-ILE-GLY-ALA-VAL",Modular recognition of antigens provides a mechanism that improves vaccine-elicited antibody-class frequencies,IMMUNE SYSTEM,"HIV, neutralizing, antibody, murine, FP, Fusion Peptide, vaccine, IMMUNE SYSTEM, mouse",,
5XEZ,N,"Glucagon receptor,Endolysin (E.C.3.2.1.17), Antibody, mAb1, heavy chain, Antibody, mAb1, light chain",Structure of the full-length glucagon class B G-protein-coupled receptor.,SIGNALING PROTEIN,"Human GCGR receptor, Class B, 7TM domain, membrane, LCP, XFEL, SIGNALING PROTEIN",,
7AR0,N,,Co-Crystal Structure of Variant Surface Glycoprotein VSG2  in complex with Nanobody VSG2(NB9),MEMBRANE PROTEIN,"Variant surface Glycoprotein, Epitope Mapping, Immune Evasion, Membrane Protein",,
4UBD,,"1968 H3 HA1, 1968 H3 HA2, Heavy Chain, Light Chain",A potent broad-spectrum protective human monoclonal antibody crosslinking two haemagglutinin monomers of influenza A virus.,viral protein/immune system,"Hemagglutinin, H3N2, Monoclonal antibody, viral protein-immune system complex",,
6RUV,N,"Nanobody hFPNb1, Properdin, Complement C3, Complement factor B (E.C.3.4.21.47), Inhibitor",Structural Basis for Properdin Oligomerization and Convertase Stimulation in the Human Complement System.,IMMUNE SYSTEM,"innate immunity, complement, proteolytic enzyme, regulator, nanobody, IMMUNE SYSTEM",,
1H8N,,MUTANT AL2 6E7S9G,"The Importance of Framework Residues H6, H7 and H10 in Antibody Heavy Chains: Experimental Evidence for a New Structural Subclassification of Antibody V(H) Domains",ANTIBODY,"ANTIBODY, FRAMEWORK",,
6OBD,N,"anti-GLD52 Fab light chain, anti-GLD52 Fab heavy chain, GLD52 peptide mimetic",Engineering an anti-CD52 antibody for enhanced deamidation stability.,IMMUNE SYSTEM,"Fab, GLD52, IMMUNE SYSTEM",,
6XC4,N,"Spike protein S1, CC12.3 heavy chain, CC12.3 light chain",Structural basis of a shared antibody response to SARS-CoV-2.,IMMUNE SYSTEM/VIRAL PROTEIN,"Antibody, SARS-CoV-2, Coronavirus, Spike, IMMUNE SYSTEM, IMMUNE SYSTEM-VIRAL PROTEIN complex",,
6WZT,N,"Hemagglutinin, Cyno antibody light chain, Cyno antibody heavy chain",Broad neutralization of H1 and H3 viruses by adjuvanted influenza HA stem vaccines in nonhuman primates.,ANTIVIRAL PROTEIN,"influenza, hemagglutinin, antibody, vaccine, broadly neutralizing antibody, ANTIVIRAL PROTEIN",,
5WCA,N,"VRC 315 13-1b02 Fab Heavy chain, VRC 315 13-1b02 Fab Light chain",Preferential induction of cross-group influenza A hemagglutinin stem-specific memory B cells after H7N9 immunization in humans.,IMMUNE SYSTEM,"Immune system, antibody, influenza, human vaccine trial",,
5THR,N,"T-cell surface glycoprotein CD4, 17b Fab VH domain, BG505 SOSIP gp41 monomer, clade A/E 93TH057 HIV-1 gp120 core, 17b Fb VL domain, 8ANC195 G52K5 VH domain, 8ANC195 G52K5 VL domain",Cryo-EM structure of a CD4-bound open HIV-1 envelope trimer reveals structural rearrangements of the gp120 V1V2 loop.,VIRAL PROTEIN,"cryo-EM, HIV-1 Env, CD4, VIRAL PROTEIN",,
6E0P,N,"Histone H3-like centromeric protein A, Histone H4, Histone H2A type 1-B/E, Histone H2B type 1-J, scFv/DNA Complex",Atomic resolution cryo-EM structure of a native-like CENP-A nucleosome aided by an antibody fragment.,NUCLEAR PROTEIN,"CENP-A, Centromere, Native alpha satellite DNA, anti-nucleosome antibody, acidic patch, nucleosome, NUCLEAR PROTEIN",,
6VSR,N,,Mapping the immunogenic landscape of near-native HIV-1 envelope trimers in non-human primates.,IMMUNE SYSTEM,"HIV, antibody, non-human primates, IMMUNE SYSTEM",,
3VRL,,"A10F9 Fab heavy chain, A10F9 Fab light chain, Gag protein",Structure of the HIV-1 capsid protein p24 in complex with the broad-spectrum antibody A10F9,IMMUNE SYSTEM/VIRAL PROTEIN,"HIV-1 capside p24, capsid protein, IMMUNE SYSTEM-VIRAL PROTEIN complex",,
3DWT,N,cAbBCII-10,General strategy to humanize a camelid single-domain antibody and identification of a universal humanized nanobody scaffold.,IMMUNE SYSTEM,"nanobody, humanization, antibody, dromedary VH domain, VHH domain, IMMUNE SYSTEM",,
2FX9,,"Fab 4E10, Fragment of HIV glycoprotein gp41",Structural basis of enhanced binding of extended and helically constrained peptide epitopes of the broadly neutralizing HIV-1 antibody 4E10.,IMMUNE SYSTEM,"immunoglobulin fold, beta-sandwich, antibody-epitope complex, IMMUNE SYSTEM",,
2AEQ,,An epidemiologically significant epitope of a 1998 influenza virus neuraminidase forms a highly hydrat interface in the NA-antibody complex.,An Epidemiologically Significant Epitope of a 1998 Human Influenza Virus Neuraminidase Forms a Highly Hydrated Interface in the NA-Antibody Complex,HYDROLASE/IMMUNE SYSTEM,"INFLUENZA VIRUS NEURAMINIDASE-FAB COMPLEX, HYDROLASE-IMMUNE SYSTEM COMPLEX",,
3PNW,,"FAB light chain, FAB heavy chain, Tudor domain-containing protein 3",CDR-H3 Diversity Is Not Required for Antigen Recognition by Synthetic Antibodies.,PROTEIN BINDING/IMMUNE SYSTEM,"FAB, structural genomics consortium, antibody, SGC, PROTEIN BINDING-IMMUNE SYSTEM complex",,
5MHR,N,"Viral attachment protein sigma 1, 9BG5 Fab light chain, 9BG5 Fab heavy chain",Structural Insights into Reovirus sigma 1 Interactions with Two Neutralizing Antibodies.,IMMUNE SYSTEM,"reovirus sigma1, virus antibody complex, neutralization, VIRAL PROTEIN, immune system",,
2IBZ,,"Ubiquinol-cytochrome-c reductase complex core protein 1, mitochondrial precursor (E.C.1.10.2.2 ), Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor (E.C.1.10.2.2 ), Cytochrome b (E.C.1.10.2.2 ), Cytochrome c1, heme protein, mitochondrial precursor (E.C.1.10.2.2 ), Ubiquinol-cytochrome c reductase iron-sulfur subunit, mitochondrial precursor (E.C.1.10.2.2), Ubiquinol-cytochrome c reductase complex 17 kDa protein (E.C.1.10.2.2 ), Ubiquinol-cytochrome c reductase complex 14 kDa protein (E.C.1.10.2.2 ), Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C (E.C.1.10.2.2 ), Ubiquinol-cytochrome c reductase complex 7.3 kDa protein (E.C.1.10.2.2 ), VH chain of antibody fragment, VL chain of antibody fragment","A Comparison of Stigmatellin Conformations, Free and Bound to the Photosynthetic Reaction Center and the Cytochrome bc(1) Complex.",OXIDOREDUCTASE,"multisubunit membrane protein complex, OXIDOREDUCTASE",,
1S5H,,,A mutant KcsA K(+) channel with altered conduction properties and selectivity filter ion distribution.,MEMBRANE PROTEIN,"K+ CHANNEL, PROTEIN-ANTIBODY FAB COMPLEX, selectivity filter, ion occupancy, MEMBRANE PROTEIN",,
5NGV,N,"Activin receptor type-2B (E.C.2.7.11.30), anti-human ActRIIB mAb BYM338 heavy-chain, anti-human ActRIIB mAb BYM338 light-chain",Blockade of activin type II receptors with a dual anti-ActRIIA/IIB antibody is critical to promote maximal skeletal muscle hypertrophy.,TRANSFERASE,"three-finger toxin fold, antibody Fv fragment, transferase",,ORTHORHOMBIC CRYSTAL FORM
5L88,N,"Anti-afamin antibody N14, Fab fragment, heavy chain, Anti-afamin antibody N14, Fab fragment, light chain","The N14 anti-afamin antibody Fab: a rare VL1 CDR glycosylation, crystallographic re-sequencing, molecular plasticity and conservative versus enthusiastic modelling.",IMMUNE SYSTEM,"Afamin antibody, Fab Fragment, IgG1-kappa, light chain glycosilation, immune system",,
1YJD,,Fab fragment of 5.11A1 antibody light chain/Fab fragment of 5.11A1 antibody heavy chain/T-cell-specific surface glycoprotein CD28,Crystal structure of a soluble CD28-Fab complex,IMMUNE SYSTEM/SIGNALING PROTEIN,"IgSF, CD28 homodimer, IMMUNE SYSTEM-SIGNALING PROTEIN COMPLEX",,
4TNV,,"Avermectin-sensitive glutamate-gated chloride channel GluCl alpha, Mouse monoclonal Fab fragment, heavy chain, Mouse monoclonal Fab fragment, light chain",X-ray structures of GluCl in apo states reveal a gating mechanism of Cys-loop receptors.,Transport Protein/immune System,"membrane protein, ligand-gated ion channel, neurotransmitter receptor, Cys-loop receptor, Transport Protein-immune System complex",,
4X7D,,"GII.10 norovirus capsid protruding domain, Nano-85",Nanobody binding to a conserved epitope promotes norovirus particle disassembly.,VIRAL PROTEIN,"Nanobody, VHH domain, Norovirus, Protruding domain, viral protein",,
4I9W,,"Potassium channel subfamily K member 4, ANTIBODY FAB FRAGMENT LIGHT CHAIN, ANTIBODY FAB FRAGMENT HEAVY CHAIN",Domain-swapped chain connectivity and gated membrane access in a Fab-mediated crystal of the human TRAAK K+ channel.,METAL TRANSPORT,"POTASSIUM ION CHANNEL, METAL TRANSPORT",,
4AEH,,"FAB ANTIBODY, HEAVY CHAIN, FAB ANTIBODY, LIGHT CHAIN",Structural Insights Into Antibody Sequestering and Neutralizing of Na+-Channel & [Alpha]-Type Modulator from Old-World Scorpion Venom,IMMUNE SYSTEM,"IMMUNE SYSTEM, ANDROCTONUS, ALPHA-TOXIN, COMBINING SITE, EPITOPE, PHARMACOLOGICAL SITE, VENOM, VOLTAGE- ACTIVATED SODIUM CHANNEL, SCORPION",,
3MME,,"PG16 HEAVY CHAIN FAB, PG16 LIGHT CHAIN FAB",Crystal structure of PG16 and chimeric dissection with somatically related PG9: structure-function analysis of two quaternary-specific antibodies that effectively neutralize HIV-1.,IMMUNE SYSTEM,"NEUTRALIZING ANTIBODIES, LONG CDRH3, HIV-1, IMMUNE SYSTEM",,
3L5W,N,"C836 LIGHT CHAIN, C836 HEAVY CHAIN, Interleukin-13",Human framework adaptation of a mouse anti-human IL-13 antibody.,IMMUNE SYSTEM,"immunoglobulin fold, alpha-helical bundle, Cytokine, Disulfide bond, Glycoprotein, Polymorphism, Secreted, MONOCLONAL ANTIBODY, IMMUNE SYSTEM",,
6KPG,N,"Guanine nucleotide-binding protein G(i) subunit alpha-1, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1, Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2, Cannabinoid receptor 1, scFv16",Activation and Signaling Mechanism Revealed by Cannabinoid Receptor-GiComplex Structures.,MEMBRANE PROTEIN,"GPCR, G protein, cryo-EM, MEMBRANE PROTEIN",,
7E3B,N,,Three epitope-distinct human antibodies from RenMab mice neutralize SARS-CoV-2 and cooperatively minimize the escape of mutants.,VIRAL PROTEIN/IMMUNE SYSTEM,"Spike, SARS-CoV-2, Antibody, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
4R4H,,"HIV-1 89.6P gp120, T-cell surface glycoprotein CD4, Antibody 2.2c, Light chain, Antibody 2.2c, Heavy chain",Structural Definition of an Antibody-Dependent Cellular Cytotoxicity Response Implicated in Reduced Risk for HIV-1 Infection.,VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR,"HIV-1 attachment glycoprotein gp120, VIRAL PROTEIN-IMMUNE SYSTEM-INHIBITOR complex",,
6KDI,N,"Anti-(6-4) photoproduct antibody 64M-5 Fab (light chain), Anti-(6-4) photoproduct antibody 64M-5 Fab (heavy chain)",Structural and biochemical basis of the formation of isoaspartate in the complementarity-determining region of antibody 64M-5 Fab.,IMMUNE SYSTEM,"DNA (6-4) PHOTOPRODUCT, IMMUNOGLOBULIN, FAB, IMMUNE SYSTEM, isoaspartate",,
3CXD,,"Fab fragment of anti-osteopontin antibody 23C3, Light chain, Fab fragment of anti-osteopontin antibody 23C3, Heavy chain, a peptide from osteopontin","Molecular basis of recognition of human osteopontin by 23C3, a potential therapeutic antibody for treatment of rheumatoid arthritis",IMMUNE SYSTEM,"Fab, osteopontin, OPN, antibody-antigen complex, IMMUNE SYSTEM",,
6Q1K,N,"Fab heavy chain, Fab lambda light chain",Affinity maturation in a human humoral response to influenza hemagglutinin.,IMMUNE SYSTEM,"antibody, IMMUNE SYSTEM",,
7K90,N,"Spike glycoprotein, C144 Fab Heavy Chain, C144 Fab Light Chain",SARS-CoV-2 neutralizing antibody structures inform therapeutic strategies.,VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-CoV-2, spike glycoprotein, COVID-19, monoclonal antibody, neutralizing antibody, PROTEIN-IMMUNE SYSTEM complex, VIRAL PROTEIN-IMMUNE SYSTEM complex",,
5BO1,,"Protein jagged-1, Fab heavy chain, Fab light chain",Therapeutic antibodies reveal Notch control of transdifferentiation in the adult lung.,Signaling protein/Immune system,"Jag, Notch, antagonist, Signaling protein-Immune system complex",,
5F89,,"CAP248-2B Heavy Chain, CAP248-2B Light Chain",Structure and Recognition of a Novel HIV-1 gp120-gp41 Interface Antibody that Caused MPER Exposure through Viral Escape.,IMMUNE SYSTEM,"HIV, neutralizing antibody, gp120 C-terminus, CAP248, gp120-gp41 interface, IMMUNE SYSTEM",,
7M71,N,"Spike glycoprotein, Fab 5A6 heavy chain, Fab 5A6 light chain",Structural insight into SARS-CoV-2 neutralizing antibodies and modulation of syncytia.,VIRAL PROTEIN,"SARS-CoV-2, Spike, antibody, Fab, VIRAL PROTEIN-IMMUNE SYSTEM complex, VIRAL PROTEIN",,
6YLA,N,"SARS-CoV-2 RBD, Heavy Chain, Light chain",Neutralization of SARS-CoV-2 by Destruction of the Prefusion Spike.,VIRAL PROTEIN,"SARS-CoV-2 Spike protein, RBD, CR3022, complex, VIRAL PROTEIN",,
5BOZ,,"Ricin (E.C.3.2.2.22), VHH single chain antibody",Structural Analysis of Single Domain Antibodies Bound to a Second Neutralizing Hot Spot on Ricin Toxin's Enzymatic Subunit.,Hydrolase/Immune system,"Toxin, VHH antibodies, Hydrolase-Immune system complex",,
